warranty_id,type1,original_damage,field_id,warranty_dmgdate,geom
2030,drought,2,5448,2020-08-01,"POLYGON ((100.50805002450943 15.811692814567733, 100.50929926335812 15.811523132111732, 100.50909642130136 15.810373416817106, 100.5079447478056 15.810636974463769, 100.50805002450943 15.811692814567733))"
2031,drought,2,5559,2020-08-01,"POLYGON ((100.54339785128832 15.793471461208513, 100.54425112903118 15.793710844455497, 100.5448616668582 15.795449752003202, 100.54509334266186 15.796105306595232, 100.54535955190659 15.796917326737905, 100.54555065929891 15.79746609178449, 100.54562777280809 15.797805157510364, 100.54564889520407 15.79822906952226, 100.54564956575632 15.798553939085997, 100.54578568786383 15.80065509379661, 100.54538033902645 15.800801235022135, 100.54502829909325 15.798782347563563, 100.54503533989191 15.798623945666534, 100.54496761411428 15.798191001356551, 100.5449340865016 15.797929363176536, 100.54339785128832 15.793471461208513))"
2032,drought,3,5603,2020-06-01,"POLYGON ((103.69301665574312 15.054458133504037, 103.69301699101925 15.054448096657195, 103.69319200515747 15.05524489131754, 103.69338411837816 15.05594034395281, 103.69341060519218 15.056130718859347, 103.69302839040756 15.056213603119213, 103.6929415538907 15.055331984905083, 103.69288221001624 15.054443240118218, 103.69301665574312 15.054458133504037, 103.69301665574312 15.054458133504037))"
2138,drought,2,6059,2020-08-05,"POLYGON ((102.26496398448944 16.507025878752447, 102.26496398448944 16.507025878752447, 102.26483825594187 16.50791985051562, 102.26707924157381 16.508511971931974, 102.26723682135344 16.507825342369287, 102.26496398448944 16.507025878752447))"
2139,drought,2,6066,2020-08-11,"POLYGON ((102.2646075859666 16.518313214437832, 102.26474303752185 16.519423139822067, 102.26210542023182 16.51985579363115, 102.2619853913784 16.518567151013574, 102.2646075859666 16.518313214437832))"
2156,drought,2,6160,2020-08-12,"POLYGON ((102.27979559451343 16.49240768086645, 102.28018015623093 16.4922350449649, 102.280711568892 16.493633166303056, 102.28015903383495 16.493800335803044, 102.27979559451343 16.49240768086645, 102.27979559451343 16.49240768086645))"
2157,drought,2,6173,2020-08-12,"POLYGON ((102.2814391180873 16.49335412150827, 102.28073637932539 16.493640560341685, 102.28018216788769 16.49222668642571, 102.28094827383758 16.491852159203518, 102.2814391180873 16.49335412150827))"
2158,drought,2,6216,2020-08-12,"POLYGON ((102.2815665230155 16.491537427183367, 102.28166777640583 16.49263175367846, 102.28198830038309 16.493132942859706, 102.28146694600582 16.493348013380377, 102.28146526962519 16.493341905252294, 102.2811112180352 16.492178464077245, 102.28094190359114 16.491869519279625, 102.2815665230155 16.491537427183367))"
2159,drought,2,6241,2020-08-12,"POLYGON ((102.26474571973085 16.490852666270204, 102.26594600826502 16.491407547834854, 102.26565767079592 16.492110309804247, 102.26426593959332 16.49117382908468, 102.26474571973085 16.490852666270204))"
2170,drought,3,6400,2020-07-06,"POLYGON ((102.28319931775333 16.509102484263572, 102.28052347898483 16.50922335101815, 102.28054761886597 16.508974223981255, 102.28319428861143 16.50886042907307, 102.28319931775333 16.509102484263572))"
